"person_id","id","name","character","role"
11472,"tm127384","Graham Chapman","King Arthur / Voice of God / Middle Head / Hiccoughing Guard","ACTOR"
1549,"tm127384","John Cleese","Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter","ACTOR"
11474,"tm127384","Eric Idle","Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard","ACTOR"
11473,"tm127384","Terry Gilliam","Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand","ACTOR"
11475,"tm127384","Terry Jones","Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe","ACTOR"
11476,"tm127384","Michael Palin","First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!","ACTOR"
40898,"tm127384","Connie Booth","The Witch","ACTOR"
11478,"tm127384","Carol Cleveland","Zoot / Dingo","ACTOR"
11482,"tm127384","Neil Innes","First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4","ACTOR"
40899,"tm127384","Bee Duffell","Old Crone","ACTOR"
11481,"tm127384","John Young","Dead Body / Historian Frank","ACTOR"
40900,"tm127384","Rita Davies","Historian's Wife","ACTOR"
40901,"tm127384","Avril Stewart","Dr. Piglet","ACTOR"
40902,"tm127384","Sally Kinghorn","Dr. Winston","ACTOR"
40903,"tm127384","Mark Zycon","Prisoner","ACTOR"
1275018,"tm127384","Elspeth Cameron","Girl in Castle Anthrax","ACTOR"
1462970,"tm127384","Mitsuko Forstater","Girl in Castle Anthrax","ACTOR"
589811,"tm127384","Sandy Johnson","Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle","ACTOR"
976111,"tm127384","Sandy Rose","Girl in Castle Anthrax","ACTOR"
1462971,"tm127384","Romilly Squire","Musician at Wedding / Villager at Witch Burning","ACTOR"
90024,"tm127384","Joni Flynn","Girl in Castle Anthrax","ACTOR"
1462991,"tm127384","Alison Walker","Girl in Castle Anthrax","ACTOR"
1462993,"tm127384","Loraine Ward","Girl in Castle Anthrax","ACTOR"
1462994,"tm127384","Anna Lanski","Girl in Castle Anthrax","ACTOR"
1462623,"tm127384","Sally Coombe","Girl in Castle Anthrax","ACTOR"
1462995,"tm127384","Vivienne MacDonald","Girl in Castle Anthrax","ACTOR"
1462975,"tm127384","Yvonne Dick","Girl in Castle Anthrax","ACTOR"
1462978,"tm127384","Daphne Darling","Girl in Castle Anthrax","ACTOR"
703435,"tm127384","Fiona Gordon","Girl in Castle Anthrax","ACTOR"
1463011,"tm127384","Judy Lamb","Girl in Castle Anthrax","ACTOR"
1462986,"tm127384","Tracy Sneddon","Girl in Castle Anthrax","ACTOR"
1462588,"tm127384","Joyce Pollner","Girl in Castle Anthrax","ACTOR"
889417,"tm127384","Mary Allen","Girl in Castle Anthrax","ACTOR"
1464056,"tm127384","Gloria Graham","Girl in Castle Anthrax","ACTOR"
1671807,"tm127384","Sylvia Taylor","Girl in Castle Anthrax","ACTOR"
11490,"tm127384","Julian Doyle","Police Sergeant (uncredited)","ACTOR"
84047,"tm127384","Margarita Doyle","Peasant (uncredited)","ACTOR"
1463016,"tm127384","Zack Matalon","Guard who Falls into Barrels (uncredited)","ACTOR"
1463018,"tm127384","Scott Mike","Bash (Mudfighter (uncredited)","ACTOR"
1463021,"tm127384","William Palin","Sir Not-Appearing-in-this-Film (uncredited)","ACTOR"
11475,"tm127384","Terry Jones","Themselves (uncredited)","ACTOR"
919694,"tm127384","Tom Raeburn","Guard Eating Apple (uncredited)","ACTOR"
400172,"tm127384","Brian Ross","Biff (Mudfighter) (uncredited)","ACTOR"
14908,"tm127384","Roy Forge Smith","Inspector End of Film (uncredited)","ACTOR"
8327,"tm127384","John Thornton","Dancing Knight (uncredited)","ACTOR"
156072,"tm127384","Maggie Weston","Page-turner (uncredited)","ACTOR"
11475,"tm127384","Terry Jones","","DIRECTOR"
11473,"tm127384","Terry Gilliam","","DIRECTOR"
11472,"tm70993","Graham Chapman","Wise Man #2 / Brian Cohen / Biggus Dickus","ACTOR"
1549,"tm70993","John Cleese","Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur","ACTOR"
11473,"tm70993","Terry Gilliam","Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee","ACTOR"
11474,"tm70993","Eric Idle","Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee","ACTOR"
11475,"tm70993","Terry Jones","Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant","ACTOR"
11476,"tm70993","Michael Palin","Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus","ACTOR"
11477,"tm70993","Terence Bayler","Gregory","ACTOR"
11478,"tm70993","Carol Cleveland","Mrs. Gregory","ACTOR"
11479,"tm70993","Kenneth Colley","Jesus","ACTOR"
11482,"tm70993","Neil Innes","A Weedy Samaritan","ACTOR"
11480,"tm70993","Charles McKeown","False Prophet / Blind Man / Giggling Guard / Stig","ACTOR"
11481,"tm70993","John Young","Matthias, Son of Deuteronomy of Gath","ACTOR"
11483,"tm70993","Gwen Taylor","Mrs. Big Nose","ACTOR"
11484,"tm70993","Sue Jones-Davies","Judith Iscariot","ACTOR"
548006,"tm70993","Peter Brett","","ACTOR"
11485,"tm70993","John Case","Pilate's Wife","ACTOR"
11489,"tm70993","Chris Langham","Alfonso / Giggling Guard","ACTOR"
11487,"tm70993","Andrew MacLachlan","Another Official Stoners Helper / Giggling Guard","ACTOR"
11486,"tm70993","Bernard McKenna","Parvus / Official Stoners Helper / Giggling Guard","ACTOR"
73106,"tm70993","Spike Milligan","Spike","ACTOR"
11488,"tm70993","George Harrison","Mr. Papadopolous (uncredited)","ACTOR"
11475,"tm70993","Terry Jones","","DIRECTOR"
1700,"tm190788","Ellen Burstyn","Chris MacNeil","ACTOR"
14440,"tm190788","Linda Blair","Regan Teresa MacNeil","ACTOR"
3288,"tm190788","Max von Sydow","Father Lankester Merrin","ACTOR"
8032,"tm190788","Lee J. Cobb","Lt. William F. Kinderman","ACTOR"
14442,"tm190788","Kitty Winn","Sharon Spencer","ACTOR"
14444,"tm190788","Jack MacGowran","Burke Dennings","ACTOR"
14441,"tm190788","Jason Miller","Father Damien Karras","ACTOR"
14443,"tm190788","William O'Malley","Father Joseph Dyer","ACTOR"
14445,"tm190788","Barton Heyman","Dr. Samuel Klein","ACTOR"
14446,"tm190788","Peter Masterson","Dr. Barringer","ACTOR"
14447,"tm190788","Rudolf Schündler","Karl","ACTOR"
520251,"tm190788","Gina Petrushka","Willi","ACTOR"
14448,"tm190788","Robert Symonds","Dr. Taney","ACTOR"
518372,"tm190788","Arthur Storch","Psychiatrist","ACTOR"
450171,"tm190788","Thomas Bermingham","Tom","ACTOR"
1022050,"tm190788","Vasiliki Maliaros","Mary Karras","ACTOR"
14449,"tm190788","Titos Vandis","Uncle John","ACTOR"
14622,"tm190788","John Mahon","Language Lab Director","ACTOR"
525566,"tm190788","Wallace Rooney","Bishop Michael","ACTOR"
50859,"tm190788","Ron Faber","Chuck / Demon (voice)","ACTOR"
7101,"tm190788","Donna Mitchell","Mary Jo Perrin","ACTOR"
49762,"tm190788","Roy Cooper","Jesuit Dean","ACTOR"
176,"tm190788","Robert Gerringer","Senator at Party","ACTOR"
14450,"tm190788","Mercedes McCambridge","Demon (voice)","ACTOR"
1171700,"tm190788","Paul Bateson","Radiologist's Assistant (uncredited)","ACTOR"
1171801,"tm190788","Elinore Blair","Nurse (uncredited)","ACTOR"
14452,"tm190788","William Peter Blatty","The Producer (uncredited)","ACTOR"
82422,"tm190788","Mary Boylan","First Mental Patient (uncredited)","ACTOR"
554384,"tm190788","Mason Curry","Doctor (voice) (uncredited)","ACTOR"
920339,"tm190788","Toni Darnay","Violent psychotic patient (uncredited)","ACTOR"
14451,"tm190788","Eileen Dietz","Demon / Regan Double (uncredited)","ACTOR"
1171714,"tm190788","Joanne Dusseau","Senator's Wife (uncredited)","ACTOR"
1031264,"tm190788","Bernard Eismann","Minor Role (uncredited)","ACTOR"
1171814,"tm190788","Beatrice Hunter","Minor Role (uncredited)","ACTOR"
897392,"tm190788","Yvonne Jones","Bellevue Nurse (uncredited)","ACTOR"
1171936,"tm190788","Don LaBonte","Minor Role (uncredited)","ACTOR"
1171750,"tm190788","Barton Lane","Angiography Doctor (uncredited)","ACTOR"
1171752,"tm190788","Ann Miles","Spiderwalk (uncredited)","ACTOR"
1171860,"tm190788","John Nicola","Priest (uncredited)","ACTOR"
1171760,"tm190788","Vincent Russell","Subway Vagrant (uncredited)","ACTOR"
1171764,"tm190788","Gerard F. Yates","Priest Singing Around Piano at Party (uncredited)","ACTOR"
14255,"tm190788","William Friedkin","","DIRECTOR"
6050,"tm14873","Clint Eastwood","Harry","ACTOR"
74499,"tm14873","Harry Guardino","Bressler","ACTOR"
24045,"tm14873","Reni Santoni","Chico","ACTOR"
29250,"tm14873","John Vernon","The Mayor","ACTOR"
29225,"tm14873","Andrew Robinson","Killer","ACTOR"
63141,"tm14873","John Larch","Chief","ACTOR"
28420,"tm14873","John Mitchum","De Georgio","ACTOR"
83026,"tm14873","Mae Mercer","Mrs. Russell","ACTOR"
83027,"tm14873","Lyn Edgington","Norma","ACTOR"
83028,"tm14873","Ruth Kobart","Bus Driver","ACTOR"
29253,"tm14873","Woodrow Parfrey","Mr. Jaffe","ACTOR"
7250,"tm14873","Josef Sommer","Rothko","ACTOR"
83029,"tm14873","William Paterson","Bannerman","ACTOR"
44085,"tm14873","James Nolan","Liquor Proprietor","ACTOR"
28418,"tm14873","Maurice Argent","Sid Kleinman","ACTOR"
83030,"tm14873","Jo De Winter","Miss Willis","ACTOR"
642080,"tm14873","Craig Kelly","Sgt. Reineke","ACTOR"
24203,"tm14873","Albert Popwell","Bank Robber (uncredited)","ACTOR"
83031,"tm14873","Joy Carlin","Communications Secretary (uncredited)","ACTOR"
83032,"tm14873","Bill Couch","Suicide Jumper (uncredited)","ACTOR"
83033,"tm14873","Diana Davidson","Swimmer (uncredited)","ACTOR"
6848,"tm14873","Vince Deadrick Sr.","Pedestrian (uncredited)","ACTOR"
83034,"tm14873","Chuck Dorsett","TV Watcher (uncredited)","ACTOR"
83035,"tm14873","Al Dunlap","Man in Jaffe's Cafe (uncredited)","ACTOR"
83036,"tm14873","Larry Duran","(uncredited)","ACTOR"
63147,"tm14873","George Fargo","Homicide Detective (uncredited)","ACTOR"
83037,"tm14873","Lois Foraker","Hot Mary (uncredited)","ACTOR"
29725,"tm14873","Max Gail","Tunnel Hoodlum (uncredited)","ACTOR"
19846,"tm14873","John Garber","Tunnel Hoodlum (uncredited)","ACTOR"
37760,"tm14873","Christopher Pray","Tunnel Hoodlum (uncredited)","ACTOR"
83038,"tm14873","Eddie Garrett","Policeman (uncredited)","ACTOR"
58911,"tm14873","James W. Gavin","Helicopter Pilot (uncredited)","ACTOR"
28432,"tm14873","David Gilliam","Homosexual (uncredited)","ACTOR"
83039,"tm14873","Don Haggerty","Minor Role (uncredited)","ACTOR"
83040,"tm14873","Scott Hale","Newsman (uncredited)","ACTOR"
83041,"tm14873","Kate Harper","Underwear Chick (uncredited)","ACTOR"
83042,"tm14873","Bob Harris","Man in Truck (uncredited)","ACTOR"
15562,"tm14873","Chuck Hicks","Flower Vendor (uncredited)","ACTOR"
28171,"tm14873","Raymond Johnson","Big Black Man (uncredited)","ACTOR"
58618,"tm14873","Richard Lawson","Homosexual (uncredited)","ACTOR"
83043,"tm14873","Laurie Mock","Third Nude (uncredited)","ACTOR"
83044,"tm14873","Ann Noland","Hippie Girl (uncredited)","ACTOR"
83045,"tm14873","Kathleen O'Malley","Lady in Jaffe's Cafe (uncredited)","ACTOR"
11774,"tm14873","Angela Paton","Homicide Detective (uncredited)","ACTOR"
83046,"tm14873","Victor Paul","Car Driver (uncredited)","ACTOR"
27040,"tm14873","Debralee Scott","Ann Mary Deacon (uncredited)","ACTOR"
