"id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_score","imdb_votes","comedia","pais","cantidad_actores","cantidad_directores","director","cantidad_generos","cantidad_paises","largo_titulo","largo_descripcion","log_imdb_votes","genero_principal","votos_faltantes"
"tm917974","Hard Kill","MOVIE","The work of billionaire tech CEO Donovan Chalmers is so valuable that he hires mercenaries to protect it, and a terrorist group kidnaps his daughter just to get it.",2020,"R",98,"['thriller', 'action']","['US']",0,3.4,19728,0,"US",16,1,"Matt Eskandari",2,1,9,164,9.88984491349497,"thriller",0
"ts236051","The Least Expected Day: Inside the Movistar Team 2019","SHOW","Pro cycling’s Movistar Team sets their sights on victory while on the road as they face challenges, controversy and internal conflict.",2020,"TV-MA",31,"['documentation', 'sport']","['ES']",3,7.4,756,0,"ES",4,2,"José Larraza",2,1,53,134,6.62936325343745,"documentation",0
"ts116814","The Twelve","SHOW","Twelve ordinary people are called for jury duty for a murder case as traumatizing as it is controversial in which a woman stands trial for killing her own blood.",2019,"TV-MA",47,"['thriller', 'drama']","['BE']",1,7.5,5005,0,"BE",13,1,"Wouter Bouvijn",2,1,10,161,8.51839247199172,"thriller",0
"ts58528","Inside West Coast Customs","SHOW","Inside the world famous ""west coast customs"" Ryan Friedlinghaus presents some of the dopest transformations on some of the dopest vehicles, with some high end clientele, Ryan and the west coast customs team don't disappoint!",2011,"TV-PG",47,"['reality']","['US']",8,7.4,42,0,"US",0,0,"Sin director",1,1,25,224,3.76120011569356,"reality",0
"tm76066","Into the Wild","MOVIE","After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness.",2007,"R",140,"['drama']","['US']",0,8.1,611379,0,"US",44,1,"Sean Penn",1,1,13,225,13.3234739760949,"drama",0
"tm980439","Chico Bon Bon and the Very Berry Holiday","MOVIE","The Fix-It Force makes a plan to hit every home as fast as they can, delivering Blunderberry Cakes before the town awakes to avoid a holiday disaster.",2020,"G",25,"['family', 'animation']","[]",0,5.9,39,0,"",8,1,"Darragh O’Connell",2,0,40,150,3.68887945411394,"family",0
"ts83204","Million Pound Menu","SHOW","Participants try to convince a jury that their new restaurant ideas could work.",2018,"Sin dato",59,"['reality']","['GB']",2,6.5,563,0,"GB",0,0,"Sin director",1,1,18,79,6.33505425149806,"reality",0
"ts36741","Fartsa","SHOW","An epic saga which takes place over a long time span from 1961 to 1991. From the midpoint of the story we view the friendship of four boys. In season main heroes are in their 20's, they are childhood friends, and for the sake of their friendship they are ready to sacrifice anything. Everyone has their own dreams, but their circumstances will take them on a difficult path and they will be forced into all kinds of underground economic dealings in the early 60s. And, worst of all - they are successful in this business. And the more successful they are, the further they get from their real dreams.",2015,"TV-14",60,"['crime', 'drama']","['RU']",1,6.7,195,0,"RU",24,1,"Egor Baranov",2,1,6,600,5.27811465923052,"crime",0
"ts302489","Chicago Party Aunt","SHOW","Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.",2021,"TV-MA",23,"['comedy', 'animation']","['US']",1,5.3,1383,1,"US",11,0,"Sin director",2,1,18,138,7.23273313617761,"comedy",0
"ts82597","The Dragon Prince","SHOW","An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.",2018,"TV-Y7",27,"['scifi', 'animation', 'action', 'drama', 'family', 'fantasy', 'thriller']","['US']",3,8.4,21635,0,"US",4,0,"Sin director",7,1,17,142,9.98211387299132,"scifi",0
"tm227940","Berlin Syndrome","MOVIE","A passionate holiday romance leads to an obsessive relationship when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave.",2017,"R",116,"['thriller', 'horror', 'drama']","['AU']",0,6.2,24733,0,"AU",25,1,"Cate Shortland",3,1,15,162,10.115934094302,"thriller",0
"ts43119","Real Rob","SHOW","Centers around comedian Rob Schneider's real life while living in Hollywood.",2015,"TV-14",31,"['comedy']","['US']",2,6.4,2801,1,"US",4,0,"Sin director",1,1,8,76,7.93808872689695,"comedy",0
