"id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_score","imdb_votes","comedia","pais","cantidad_actores","cantidad_directores","director","cantidad_generos","cantidad_paises","largo_titulo","largo_descripcion","log_imdb_votes","genero_principal","votos_faltantes"
"tm190788","The Exorcist","MOVIE","12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",1973,"R",133,"['horror']","['US']",0,8.1,391942,0,"US",41,1,"William Friedkin",1,1,12,339,12.8788717000365,"horror",0
"tm27298","Saladin the Victorious","MOVIE","Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.",1963,"Sin dato",186,"['drama', 'war', 'action', 'history', 'romance']","['EG']",0,7.6,2470,0,"EG",18,1,"Youssef Chahine",5,1,22,150,7.81237820598861,"drama",0
"tm107372","Manoranjan","MOVIE","Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",1974,"Sin dato",162,"['comedy', 'drama', 'romance']","['IN']",0,6.5,236,1,"IN",5,1,"Shammi Kapoor",3,1,10,898,5.46806014113513,"comedy",0
"ts23753","Major Dad","SHOW","Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.",1989,"TV-PG",24,"['comedy', 'family']","['US']",4,6.4,2866,1,"US",8,0,"Sin director",2,1,9,354,7.96102146588337,"comedy",0
"tm147829","Unspeakable Acts","MOVIE","Two psychologist try to demonstrate that a man is a pedophile and has abused many children.",1990,"Sin dato",100,"['drama']","['US']",0,6,448,0,"US",10,1,"Linda Otto",1,1,16,91,6.10702288774225,"drama",0
"tm38736","Too Young The Hero","MOVIE","TV movie based upon the true story of Calvin Graham, who, as a 12 year old boy, enlisted in the US Navy during WWII.",1988,"Sin dato",100,"['drama', 'war']","['US']",0,6.7,494,0,"US",4,1,"Buzz Kulik",2,1,18,116,6.20455776256869,"drama",0
"tm55091","Quiet Victory: The Charlie Wedemeyer Story","MOVIE","Film that tells the story of Los Gatos (California) high school football coach Charlie Wedemeyer. At 31, onetime football pro Wedemeyer is living the American dream; a winning team, a happy marriage and public adulation.",1988,"Sin dato",100,"['drama']","['US']",0,7.1,144,0,"US",16,1,"Roy Campanella II",1,1,42,220,4.97673374242057,"drama",0
"tm52274","The Little Wars","MOVIE","Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped.",1982,"Sin dato",108,"['drama', 'war', 'european']","['FR', 'LB']",0,6.3,149,0,"FR",5,1,"Maroun Bagdadi",3,2,15,150,5.01063529409626,"drama",0
"tm342996","Duniya","MOVIE","Mohan Kumar's diligence and honesty lands him in trouble with Balwant Singh Kalra, Jugal Kishore Ahuja, and Mr. Bhandari. Together the trio frame and imprison Mohan and make him watch helplessly as his wife is killed. Years later, Mohan Kumar is released from prison, his only goal in life is to avenge his humiliation and wrongful arrest at the hands of the trio. With the help of Dinesh Verma, he establishes himself again, and starts the process of bringing death and destruction to the trio. The trio are well aware of his presence, and decide to send one of their men, Ravi, to spy on him. Ravi falls in love with Verma's daughter, Roma, and decides to change sides to help Verma and Mohan, but Mohan will not have anything to do with Ravi, and asks him to leave. Ravi then becomes a target by the trio and their men, and has to save himself, and the only way he can redeem himself is by turning the tables over Mohan, who is none other than his own father.Duniya",1984,"Sin dato",170,"['drama', 'action']","['IN']",0,6.2,241,0,"IN",9,1,"Ramesh Talwar",2,1,6,968,5.48893772615669,"drama",0
"tm47673","An Egyptian Story","MOVIE","Acclaimed actor Nour El Cherif here plays Egyptian filmmaker Yehia Mourad some thirty years after we last see him in ""Alexandria, Why?""  Though successful in his work, Yehia has grown distant from his wife and children and suﬀers a symbolic blockage of the heart while shooting the final scenes of his latest film. After being flown to England for evaluation, it's determined that Yehia must undergo emergency surgery.  Fact and fiction blend seamlessly—with healthy doses of cleverly  absurdist fantasy—as the film explores the various personalities and forces that have made Yehia (and Youssef Chahine) the man he has become.",1982,"Sin dato",129,"['fantasy', 'drama']","['EG']",0,7.3,1113,0,"EG",7,1,"Youssef Chahine",2,1,17,627,7.01571242048723,"fantasy",0
