"id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_score","imdb_votes"
"tm127384","Monty Python and the Holy Grail","MOVIE","King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,"PG",91,"['comedy', 'fantasy']","['GB']",NA,8.2,530877
"tm70993","Life of Brian","MOVIE","Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,"R",94,"['comedy']","['GB']",NA,8,392419
"tm190788","The Exorcist","MOVIE","12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",1973,"R",133,"['horror']","['US']",NA,8.1,391942
"tm14873","Dirty Harry","MOVIE","When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,"R",102,"['thriller', 'crime', 'action']","['US']",NA,7.7,153463
"tm98978","The Blue Lagoon","MOVIE","Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,"R",104,"['romance', 'drama']","['US']",NA,5.8,69053
"tm119281","Bonnie and Clyde","MOVIE","In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,"R",110,"['drama', 'crime', 'action']","['US']",NA,7.7,111189
"tm67378","The Professionals","MOVIE","An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.",1966,"PG-13",117,"['western', 'action', 'european']","['US']",NA,7.3,16168
"tm69778","Lupin the Third: The Castle of Cagliostro","MOVIE","After a successful robbery leaves famed thief Lupin the Third and his partner Jigen with nothing but a large amount of expertly crafted counterfeit bills, he decides to track down the forgers responsible—and steal any other treasures he may find in the Castle of Cagliostro, including the 'damsel in distress' he finds imprisoned there.",1979,"PG",100,"['comedy', 'animation', 'action', 'fantasy', 'family']","['JP']",NA,7.6,30277
"tm69997","Richard Pryor: Live in Concert","MOVIE","Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",1979,"R",78,"['comedy', 'documentation']","['US']",NA,8.1,5141
"tm96649","The Long Riders","MOVIE","The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",1980,"R",99,"['western', 'crime']","['US']",NA,6.9,11329
"tm16479","White Christmas","MOVIE","Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.",1954,"",115,"['romance', 'comedy', 'music']","['US']",NA,7.5,42373
"tm135083","Cairo Station","MOVIE","Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,"",77,"['drama', 'crime', 'comedy']","['EG']",NA,7.5,4385
"tm89386","Hitler: A Career","MOVIE","A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,"PG",150,"['documentation', 'history', 'european']","['DE']",NA,7.5,2416
"tm27298","Saladin the Victorious","MOVIE","Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.",1963,"",186,"['drama', 'war', 'action', 'history', 'romance']","['EG']",NA,7.6,2470
"tm204541","Dark Waters","MOVIE","Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,"",120,"['drama', 'action', 'romance', 'thriller']","['EG']",NA,6.7,590
"tm14350","Alexandria… Why?","MOVIE","Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1979,"",133,"['drama']","['EG']",NA,7.2,1689
"tm102287","Raya and Sakina","MOVIE","Dramatic rendition of a real life crime wave that terrorized the city of Alexandria, Egypt, between the years 1920 and 1922. Women are disappearing without a trace in what looked like the work of a serial killer. Being Egypt's first ever case of serial killings, the police is relentless and assigns the case to their best inspector. He traces the leads to sisters Raya and Sekina, but it becomes a race against time before they kill again.",1953,"",105,"['drama', 'thriller', 'crime', 'history']","['EG']",NA,6.8,231
